1890864,7
1890865,2
1890866,1
1890867,0
1890868,4
1890869,1
1890870,4
1890871,9
1890872,5
1890873,9
1890874,0
1890875,6
1890876,9
1890877,0
1890878,1
1890879,5
1890880,9
1890881,7
1890882,3
1890883,4
1890884,9
1890885,6
1890886,4
1890887,5
1890888,4
1890889,0
1890890,7
1890891,4
1890892,0
1890893,1
1890894,3
1890895,1
1890896,3
1890897,4
1890898,7
1890899,2
1890900,7
1890901,1
1890902,2
1890903,1
1890904,1
1890905,7
1890906,9
1890907,2
1890908,3
1890909,5
1890910,1
1890911,2
1890912,4
1890913,4
1890914,6
1890915,3
1890916,5
1890917,5
1890918,4
1890919,0
1890920,5
1890921,1
1890922,9
1890923,5
1890924,7
1890925,8
1890926,9
1890927,3
1890928,7
1890929,4
1890930,4
1890931,4
1890932,3
1890933,0
1890934,7
1890935,0
1890936,2
1890937,9
1890938,1
1890939,7
1890940,3
1890941,2
1890942,9
1890943,7
1890944,7
1890945,6
1890946,2
1890947,7
1890948,8
1890949,4
1890950,7
1890951,3
1890952,6
1890953,1
1890954,3
1890955,6
1890956,9
1890957,3
1890958,1
1890959,4
1890960,1
1890961,7
1890962,6
1890963,9
